address,seed_same_naive,seed_same,seed_suspicious,less_5_tx,less_10_tx,interacted_other_ctbt,count_interaction_with_pool,count_interaction_with_toxic,count_interaction_with_airdrop_m,is_airdrop_master,count_interaction_with_tornado,count_interaction_with_disperse,has_interaction_toxic,has_no_pool_interaction,has_interaction_airdrop_m,has_interaction_tornado,has_interaction_disperse,count_flags,suspicious_1,flagged
0x0e707ab69944829ca6377e8f3aeb0c9709b633f7,False,False,False,False,False,True,1,0,0,False,0,0,False,True,False,False,False,2,False,False
0x0ea26051f7657d59418da186137141cea90d0652,False,False,False,False,False,False,1,0,1,False,0,0,False,True,True,False,False,2,False,True
0x0eaa51831bee6c9a24857ce5b484da9c2139e9dc,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x0ed88474819e7eca42163db198853974a8d2a42a,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x0f25809d8e83abc5ff0f4ceb8a8c39c79746d0b6,False,False,False,False,False,False,64,0,2,False,0,0,False,False,True,False,False,1,False,True
0x10e20576854d4f7dd352e02ea96f78bfe20aac9a,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x11add8df7308128a7f87453d450af38794331b1f,False,False,False,False,True,False,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x11c7a2c59030fda298a626ddf354a2f17998793c,False,False,False,False,False,False,2,0,1,False,0,0,False,True,True,False,False,2,False,True
0x12ccece69a398c15eba604f1e2642cbfbe13e9f1,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x136d54e730ad568cf49f8d7b8d36e1b079f37e1e,False,False,False,False,False,False,1,0,11,True,0,0,False,True,True,False,False,3,True,True
0x13733cf0a2e375c300c0ef71ed4963cd9127ffd7,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1374376a0aac0d54b5f19ce0b7ed32be2d03c9cd,False,False,False,False,False,False,1,0,0,False,0,0,False,True,False,False,False,1,False,False
0x13ca668c9bd18571f0cf30fb6f7adabd525f9197,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1402abb896ff3c27dd87a274852cc9790c4569fd,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x147f7be19fcb54f013c01b20efa3ddca09341641,True,True,False,False,False,False,3,0,0,False,0,0,False,True,False,False,False,1,False,False
0x14883607d3d596afeef01ce691d6a219f67a6a9c,True,True,False,False,True,False,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x14ab7ae4fa2820be8bc32044fe5279b56ccbcc34,False,False,False,False,False,False,1,0,0,False,0,0,False,True,False,False,False,1,False,False
0x14f2b5273b5e3728a27497cf46e91b3432c7bb52,True,True,False,False,False,False,1,0,0,False,0,0,False,True,False,False,False,1,False,False
0x156fe0a373777e8a8b0f02abf495b628dacdf7b5,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x15b8d56eab6f835627cbf7c56e2935c25c8c9a7f,True,True,False,False,False,True,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x15c6fa355634a0e6dd21a612b0aee40aa8e68821,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x15c7281842a45465b4cbb8f89111d99e36e5bab8,True,True,False,False,False,False,6,0,0,False,0,0,False,False,False,False,False,0,False,False
0x15f749df951558e09aa7c8bcefd4d9b9c7afb206,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x16204069922fc4242fbbc5c664970c9601015865,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1634f54662e8ac873d4fdc0512216f91282712c5,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1652cde0ebac1597f3d9b9859c6ceb245a623a92,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x165d1f1361490974ea2f2a4079b5828e81f13b11,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1709c344a17614d0da5cccb2ab6e0742b0ed0312,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x177d9d0cc4db65dac19a3647fa79687ebb976bbf,False,False,False,False,True,False,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x17c57bd297175e5711ee3daf045252b588f3162f,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x17dcf45a9e7c2db080153de178dcc2e009412048,True,True,False,False,False,True,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x17e4285bee986ae686504131d3d5abe0009f297a,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x17ed88d51edaf2b1caaddae9a3eacee9fb948973,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1811cc0c070bc6de2bd8f3605c8478e9ddbbdc0c,True,True,False,False,True,False,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x181235fb8233adffdcd878854e7033ef66e3aeac,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1874fc5f915aa9fd24c379fe7f9ec40607cef78a,True,True,False,False,False,False,2,0,1,False,0,8,False,True,True,False,True,3,True,True
0x18b24cf58dd392b9dad6ede481300d33309f3595,False,False,False,False,False,False,2,0,5,False,0,0,False,True,True,False,False,2,False,True
0x18fff78773a449d63ee954a681320572840bed18,True,True,False,False,False,False,3,0,0,False,0,0,False,True,False,False,False,1,False,False
0x19443e380963ffd0a580695a26547967f50e5682,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x19620fa678f1cf1b25339ba91f4c690ef11d9984,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x19dd4be525a0c44848be701278d4f6d390168c20,True,True,False,False,False,True,3,0,0,False,0,0,False,True,False,False,False,2,False,False
0x1a2b8bd408413179524e3e61ffa1378b7b7688d5,True,True,False,False,False,True,0,0,4,False,0,0,False,True,True,False,False,3,True,True
0x1a8c6ab76216f97dd415e3940499e5e12f030841,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1b0f16e98d1cf0de6b961284089c373b798c52f6,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1b18d4d3491e6aaa6d883600572b0573a4e39995,False,False,False,False,False,False,8,0,2,False,0,0,False,False,True,False,False,1,False,True
0x1b8db628c5cf2263833300b94d819b784c591694,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x1ba12164ce1f4fbf7b528498c9864c432a53da16,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1be1a7f474898e8640959f570cf080556461903c,True,True,False,False,False,False,3,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1c004b4357709cce7fcf904bb70ad01b3a299129,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1c1a6d7390933f0775bd9e7b126e6a0b85d683e3,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1c7bc7e551a8359bc6149da300ba52adba1f6824,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
